Designator,Comment,Footprint,嘉立创元件编号
"C1, C4, C6, C8, C47, C63",CC0603ZRY5V9BB104,0603,C106221
"R1, R2, R3, R4, R8, R10, R11, R13, R15, R26, R28, R29, R32, R34, R35, R38, R40, R41, R44, R45, R46, R47, R48, R49",RC0603FR-0710KL,0603,C98220
"C3, C35, C36, C38, C39, C41, C42, C44, C45, C46, C88",CC0603KRX7R9BB103,0603,C57112
"C2, C5, C10, C12, C43",GRM21BR61E106KA73L,0805,C15850
"C11, C13",GRM1555C1H221JA01D,0603,C71693
"C15, C17",GRM1885C1H272JA01D,0603,C77034
"C14, C16",C2012X7R1E335KT000N,0805,C342789
"R7, R9",RC0603FR-074K99L,0603,C23046
"C7, C9",C3216X5R1E476MTJ00E,1206,C76659
"R12, R14",RC0603FR-07590RL,0603,C273786
Q1,ASFL1-12.288MHZ-LCS-T,ASF,C276419
U1,CS4270-CZZ,TSSOP24,C1323229
"E1, E2, E3",PEC11R-4015F-N0024,PEC11RN,-
L3,BLM21PG331SN1D,0805,C74764
"J-IN, J-OUT",4832.2330,JACK4832.2330,-
U$1,OLED128X64 NHD-2.7-12864WDY3,OLED-ALEPH,-
"SW1, SW2, SW3",PVA1 OA H1 1.2N V2,PVA1,-
X1,RASPI_BOARD_B+#_E3,RASPI_BOARD_B+_EDGES_3DRILL,-
U11,TPS793,SSOP6,C2869546