Designator,Mid Xmm,Mid Ymm,Rotation,Layer,Comment
C1,30.48mm,95.89mm,270,T,100n
C10,45.24mm,86.04mm,180,T,2.2u
C11,12.86mm,83.82mm,90,T,22u
C12,58.74mm,83.19mm,270,T,100n
C13,43.50mm,82.55mm,90,T,100n
C14,12.38mm,78.74mm,180,T,22u
C15,43.18mm,74.30mm,270,T,2.2u
C16,45.09mm,73.66mm,270,T,100n
C17,21.59mm,73.34mm,180,T,100n
C18,66.04mm,73.18mm,180,T,100n
C19,56.20mm,72.39mm,270,T,100n
C2,26.99mm,94.62mm,90,T,22u
C20,54.61mm,70.48mm,270,T,2.2u
C21,56.99mm,69.37mm,180,T,100n
C22,6.03mm,68.58mm,180,T,22u
C23,14.92mm,68.58mm,0,T,22u
C24,39.37mm,62.23mm,270,T,100n
C25,57.15mm,60.80mm,0,T,470n
C26,53.66mm,60.64mm,180,T,100n
C27,54.29mm,55.09mm,90,T,22u
C28,7.62mm,49.85mm,180,T,100n
C29,80.01mm,49.85mm,180,T,100n
C3,14.29mm,94.30mm,0,T,22u
C30,13.81mm,41.91mm,180,T,4.7n
C31,17.62mm,41.91mm,0,T,470p
C32,20.00mm,41.91mm,180,T,4.7n
C33,22.54mm,41.91mm,0,T,4.7n
C34,64.77mm,38.42mm,0,T,47p
C35,73.03mm,38.42mm,180,T,47p
C36,53.66mm,37.78mm,270,T,100n
C37,74.93mm,35.56mm,180,T,100n
C38,29.69mm,34.93mm,180,T,100n
C39,63.18mm,34.93mm,180,T,100n
C4,60.96mm,93.66mm,90,T,20p
C40,14.13mm,33.66mm,180,T,4.7n
C41,19.37mm,33.66mm,180,T,470p
C42,23.18mm,33.66mm,0,T,4.7n
C43,65.09mm,32.70mm,0,T,47p
C44,72.71mm,32.70mm,180,T,47p
C45,86.04mm,32.07mm,90,T, ESD
C46,15.72mm,31.75mm,270,T,100n
C47,21.27mm,31.75mm,270,T,100n
C48,50.32mm,31.75mm,90,T,100n
C49,59.53mm,31.75mm,270,T,100n
C5,14.29mm,92.08mm,0,T,22u
C50,38.26mm,31.12mm,270,T,100n
C51,74.61mm,30.16mm,180,T,470n
C52,30.80mm,28.89mm,0,T,470n
C53,5.08mm,28.42mm,180,T, ESD
C54,49.85mm,22.23mm,90,T, ESD
C55,61.91mm,19.69mm,90,T, ESD
C56,14.92mm,17.14mm,90,T, ESD
C57,61.91mm,16.51mm,90,T, ESD
C58,23.34mm,13.97mm,180,T, ESD
C6,53.02mm,92.39mm,270,T,20p
C7,67.63mm,90.17mm,270,T,100n
C8,40.01mm,88.90mm,270,T,100n
C9,48.74mm,86.84mm,90,T,100n
D1,23.18mm,100.33mm,90,T,1N5819HW
D2,5.71mm,73.03mm,0,T,1N5819HW
D3,33.34mm,54.93mm,180,T,BAT54S
D4,33.81mm,51.17mm,90,T,1N4148
D5,37.78mm,49.80mm,270,T,1N4148
F1,84.77mm,104.14mm,0,T,FIDUCIAL1X2
F2,87.00mm,5.08mm,0,T,FIDUCIAL1X2
F3,2.54mm,2.54mm,0,T,FIDUCIAL1X2
IC10,54.77mm,31.12mm,270,T,TL074PW
IC2,51.13mm,79.08mm,270,T,STM32F405RGT6
IC3,13.65mm,74.37mm,180,T,LD2981ABU33
IC4,57.47mm,65.09mm,90,T,DAC8164ICPW
IC5,15.72mm,37.78mm,0,T,MCP6004
IC6,21.27mm,37.78mm,0,T,MCP6004
IC7,68.90mm,35.56mm,270,T,OPA4171
IC8,31.12mm,32.70mm,270,T,LM4040B10
IC9,42.70mm,32.23mm,270,T,LM324PW
L1,10.79mm,93.24mm,90,T,33u
L2,16.09mm,86.84mm,0,T, 
L3,15.56mm,78.80mm,90,T, 
L4,9.53mm,71.50mm,90,T, 
Q1,56.83mm,93.03mm,0,T,8MHz
Q2,35.88mm,53.18mm,0,T,MMBT3904
Q3,39.37mm,53.18mm,0,T,MMBT3904
R1,20.32mm,97.16mm,90,T,39
R10,6.99mm,85.09mm,0,T,1.5k
R11,81.92mm,84.77mm,180,T,2.2k
R12,84.45mm,84.77mm,0,T,1.5k
R15,63.18mm,66.36mm,270,T,2.2k
R17,64.77mm,65.72mm,0,T,1.5k
R18,28.89mm,65.09mm,180,T,1.5k
R19,28.89mm,61.91mm,180,T,2.2k
R2,51.75mm,96.20mm,270,T,100
R22,36.51mm,55.88mm,0,T,10k
R23,38.74mm,55.88mm,180,T,10k
R24,36.04mm,50.48mm,180,T,100k
R25,39.53mm,50.48mm,180,T,100k
R26,36.04mm,49.37mm,180,T,100k
R27,39.53mm,49.37mm,180,T,100k
R28,16.99mm,46.36mm,90,T,200k
R29,20.64mm,46.36mm,90,T,200k
R3,52.86mm,96.20mm,270,T,100
R30,15.72mm,45.09mm,90,T,200k
R31,21.91mm,44.93mm,90,T,200k
R32,23.18mm,44.93mm,90,T,100k
R33,13.81mm,44.45mm,180,T,100k
R34,17.62mm,44.45mm,0,T,100k
R35,20.00mm,44.45mm,180,T,100k
R36,46.99mm,43.97mm,270,T,1.5k
R39,13.81mm,43.18mm,0,T,33k
R40,17.62mm,43.18mm,180,T,33k
R41,20.00mm,43.18mm,0,T,33k
R42,22.54mm,43.18mm,180,T,33k
R43,64.77mm,39.69mm,180,T,100k
R44,73.02mm,39.69mm,0,T,100k
R45,67.31mm,39.05mm,180,T,1.0k
R46,70.48mm,39.05mm,0,T,1.0k
R47,64.14mm,36.83mm,180,T,23.7k
R48,73.66mm,36.83mm,0,T,23.7k
R49,45.40mm,36.35mm,180,T,39k
R5,76.84mm,94.93mm,0,T,39
R50,40.01mm,36.35mm,0,T,39k
R51,40.01mm,35.40mm,180,T,56k
R52,45.40mm,35.40mm,0,T,56k
R53,73.66mm,34.29mm,0,T,23.7k
R54,64.29mm,33.81mm,180,T,23.7k
R55,47.15mm,33.34mm,90,T,10k
R56,38.26mm,33.34mm,90,T,10k
R57,14.13mm,32.38mm,0,T,33k
R58,19.37mm,32.38mm,0,T,33k
R59,23.18mm,32.38mm,180,T,33k
R6,66.67mm,90.17mm,270,T,10k
R60,62.87mm,32.07mm,90,T,100k
R61,74.93mm,32.07mm,90,T,100k
R62,64.77mm,31.43mm,0,T,1.0k
R63,72.87mm,31.43mm,180,T,1.0k
R64,14.13mm,31.12mm,180,T,100k
R65,19.37mm,31.12mm,180,T,100k
R66,23.18mm,31.12mm,0,T,100k
R67,47.15mm,31.12mm,270,T,10k
R68,30.80mm,30.16mm,180,T,1.0k
R69,46.04mm,29.53mm,0,T,56k
R7,54.29mm,89.69mm,0,T,100
R70,15.08mm,29.21mm,270,T,200k
R71,20.00mm,29.21mm,270,T,200k
R72,22.54mm,29.21mm,270,T,200k
R73,74.61mm,28.58mm,0,T,100k
R74,77.15mm,28.58mm,0,T,150k
R75,46.04mm,28.57mm,180,T,39k
R76,11.11mm,26.67mm,180,T,100k
R77,75.25mm,24.45mm,270,T,100k
R78,37.47mm,12.70mm,180,T,680
R79,49.53mm,12.70mm,180,T,680
R8,55.88mm,88.74mm,0,T,100
R80,61.60mm,12.70mm,180,T,680
R81,73.66mm,12.70mm,180,T,680
R82,2.86mm,10.48mm,90,T,180
R83,14.92mm,10.48mm,90,T,180
R84,26.99mm,10.48mm,90,T,180
R85,13.65mm,7.30mm,90,T,1.0k
R86,25.72mm,7.30mm,90,T,1.0k
R87,26.99mm,3.81mm,90,T,1.0k
R9,4.45mm,85.09mm,180,T,2.2k