Designator,Mid X,Mid Y,Layer,Rotation
C1,54.93mm,73.34mm,T,0
C10,40.96mm,62.87mm,T,180
C11,14.29mm,62.23mm,T,90
C12,11.75mm,61.60mm,T,90
C13,13.02mm,61.60mm,T,90
C14,27.94mm,60.96mm,T,270
C15,41.91mm,59.37mm,T,180
C16,10.16mm,56.83mm,T,90
C17,54.29mm,54.61mm,T,270
C18,40.64mm,54.29mm,T,270
C19,50.32mm,54.13mm,T,0
C2,53.02mm,71.12mm,T,0
C20,45.56mm,53.18mm,T,270
C21,65.25mm,52.07mm,T,0
C22,52.71mm,51.12mm,T,0
C23,61.91mm,50.80mm,T,270
C24,15.24mm,50.80mm,T,180
C25,65.25mm,50.01mm,T,0
C26,15.24mm,49.53mm,T,180
C27,16.83mm,42.86mm,T,180
C28,11.27mm,42.39mm,T,0
C29,34.61mm,41.75mm,T,0
C3,25.08mm,70.48mm,T,90
C30,37.15mm,41.75mm,T,180
C31,39.69mm,41.75mm,T,180
C32,57.79mm,41.75mm,T,0
C33,14.29mm,41.75mm,T,180
C34,60.33mm,41.75mm,T,180
C35,62.87mm,41.75mm,T,180
C36,20.80mm,39.53mm,T,90
C37,43.66mm,39.53mm,T,90
C38,66.99mm,39.53mm,T,90
C39,55.56mm,38.74mm,T,90
C4,17.46mm,69.21mm,T,270
C40,32.39mm,38.73mm,T,90
C41,42.23mm,32.70mm,T,0
C42,2.38mm,31.91mm,T,90
C43,47.78mm,31.12mm,T,90
C44,11.27mm,29.85mm,T,90
C45,19.21mm,29.85mm,T,90
C46,34.45mm,29.85mm,T,90
C47,42.39mm,29.85mm,T,90
C48,56.36mm,29.85mm,T,90
C49,64.29mm,29.85mm,T,90
C5,8.57mm,67.95mm,T,180
C50,10.79mm,27.94mm,T,180
C51,19.69mm,27.94mm,T,180
C52,33.81mm,27.94mm,T,180
C53,43.02mm,27.94mm,T,180
C54,55.88mm,27.94mm,T,180
C55,64.77mm,27.94mm,T,180
C6,30.32mm,65.88mm,T,90
C7,8.89mm,64.77mm,T,180
C8,32.38mm,64.61mm,T,180
C9,26.67mm,64.45mm,T,90
D1,64.61mm,73.03mm,T,180
D2,64.77mm,55.25mm,T,0
D3,61.70mm,15.88mm,T,180
D4,15.98mm,15.72mm,T,180
D5,38.84mm,15.72mm,T,180
D6,14.02mm,10.64mm,T,0
D7,59.58mm,10.64mm,T,0
D8,36.72mm,10.64mm,T,0
D9,12.22mm,2.38mm,T,180
IC1,36.20mm,68.90mm,T,90
IC10,60.33mm,39.37mm,T,270
IC11,37.78mm,32.23mm,T,270
IC12,15.24mm,27.94mm,T,270
IC13,38.42mm,27.94mm,T,270
IC14,60.33mm,27.94mm,T,270
IC2,50.16mm,63.50mm,T,270
IC3,6.99mm,60.95mm,T,270
IC4,37.62mm,57.15mm,T,90
IC5,20.33mm,56.86mm,T,270
IC6,5.40mm,53.33mm,T,270
IC7,58.02mm,50.96mm,T,90
IC8,14.29mm,39.37mm,T,270
IC9,37.15mm,39.37mm,T,270
JP1,3.18mm,104.14mm,T,0
JP2,66.67mm,104.14mm,T,0
JP5,63.82mm,63.50mm,T,180
JP7,3.18mm,2.54mm,T,0
JP8,66.67mm,2.54mm,T,0
L1,60.38mm,73.03mm,T,0
L2,28.58mm,63.76mm,T,270
L3,51.07mm,56.20mm,T,180
L4,62.13mm,53.66mm,T,0
L5,64.87mm,53.66mm,T,180
Q1,21.27mm,69.85mm,T,90
Q2,13.34mm,14.29mm,T,270
Q3,59.05mm,14.29mm,T,270
Q4,36.20mm,14.29mm,T,270
Q5,16.51mm,12.22mm,T,90
Q6,39.37mm,12.22mm,T,90
Q7,62.23mm,12.22mm,T,90
R1,38.73mm,73.98mm,T,180
R10,4.45mm,65.09mm,T,90
R11,5.40mm,65.09mm,T,90
R12,29.69mm,57.63mm,T,270
R13,39.69mm,42.86mm,T,0
R14,57.79mm,42.86mm,T,180
R15,34.61mm,42.86mm,T,180
R16,62.87mm,42.86mm,T,0
R17,65.09mm,42.86mm,T,180
R18,9.05mm,42.39mm,T,0
R19,16.83mm,41.75mm,T,0
R2,28.26mm,72.23mm,T,0
R20,11.59mm,41.27mm,T,180
R21,56.20mm,40.80mm,T,180
R22,33.02mm,40.80mm,T,180
R23,10.00mm,40.48mm,T,270
R24,18.73mm,39.05mm,T,270
R25,33.50mm,39.05mm,T,270
R26,41.59mm,39.05mm,T,270
R27,42.55mm,39.05mm,T,270
R28,56.67mm,39.05mm,T,270
R29,64.93mm,39.05mm,T,270
R3,43.82mm,71.75mm,T,180
R30,65.88mm,39.05mm,T,270
R31,19.68mm,39.05mm,T,270
R32,10.00mm,38.42mm,T,270
R33,33.81mm,32.70mm,T,0
R34,19.84mm,31.59mm,T,180
R35,10.64mm,31.59mm,T,0
R36,33.81mm,31.59mm,T,0
R37,55.72mm,31.59mm,T,0
R38,42.86mm,31.59mm,T,180
R39,64.77mm,31.59mm,T,180
R4,13.18mm,69.85mm,T,270
R40,46.83mm,31.12mm,T,90
R41,10.16mm,29.85mm,T,270
R42,20.32mm,29.85mm,T,270
R43,33.34mm,29.85mm,T,270
R44,43.50mm,29.85mm,T,270
R45,55.25mm,29.85mm,T,270
R46,65.41mm,29.85mm,T,270
R47,8.89mm,29.21mm,T,270
R48,46.83mm,28.89mm,T,90
R49,32.07mm,28.89mm,T,270
R5,42.07mm,67.47mm,T,0
R50,21.43mm,28.58mm,T,270
R51,53.98mm,28.58mm,T,270
R52,66.68mm,28.58mm,T,270
R53,43.97mm,25.72mm,T,270
R54,14.13mm,24.77mm,T,0
R55,16.35mm,24.77mm,T,180
R56,37.31mm,24.77mm,T,0
R57,39.53mm,24.77mm,T,180
R58,59.21mm,24.77mm,T,0
R59,61.44mm,24.77mm,T,180
R6,32.07mm,66.68mm,T,90
R60,9.05mm,18.10mm,T,90
R61,31.91mm,18.10mm,T,90
R62,54.77mm,18.10mm,T,90
R63,37.15mm,16.83mm,T,180
R64,14.29mm,16.83mm,T,180
R65,60.01mm,16.83mm,T,180
R66,63.34mm,15.40mm,T,270
R67,17.62mm,15.24mm,T,270
R68,40.48mm,15.24mm,T,270
R69,61.75mm,14.92mm,T,0
R7,42.07mm,66.36mm,T,0
R70,16.03mm,14.76mm,T,0
R71,38.89mm,14.76mm,T,0
R72,36.67mm,11.75mm,T,180
R73,59.53mm,11.75mm,T,180
R74,13.97mm,11.75mm,T,180
R75,12.38mm,11.27mm,T,90
R76,35.08mm,11.27mm,T,90
R77,57.94mm,11.27mm,T,90
R8,20.80mm,65.72mm,T,90
R9,21.75mm,65.72mm,T,90
